serial_number,comment,polarities,subjectivities
51,The graphics are terrible this can not be finished product Like this is what they used for the finished movie cause it looks like really bad and I wasn t aware they made a movie to ruin a great book about being strong leader even though life hard and world changing and they taking your home and you have to be strong leader,-0.15,0.55
52,Fire on fire,0.8,0.75
53,Lyrics My mother said Im too romantic She said Youre dancing in the movies I almost started to believe her Then I saw you and I knew Maybe its cause I got a little bit older Maybe its all that Ive been through Id like to think its how you lean on my shoulder And how I see myself with you I dont say a word But still you take my breath and steal the things I know There you go saving me from out of the cold Fire on fire would normally kill us But this much desire together were winners They say that were out of control and some say were sinners But dont let them ruin our beautiful rhythms Cause when you unfold me and tell me you love me And look in my eyes You are perfection my only direction Its fire on fire mmm Its fire on fire When we fight we fight like lions But then we love and feel the truth We lose our minds in a city of roses We wont abide by any rules I dont say a word But still you take my breath and steal the things I know There you go saving me from out of the cold Fire on fire would normally kill us But this much desire together were winners They say that were out of control and some say were sinners But dont let them ruin our beautiful rhythms Cause when you unfold me and tell me you love me And look in my eyes You are perfection my only direction Its fire on fire oh Its fire on fire Fire on fire would normally kill us But this much desire together were winners They say that were out of control and some say were sinners But dont let them ruin our beautiful rhythms Fire on fire would normally kill us But this much desire together were winners They say that were out of control and some say were sinners But dont let them ruin our beautiful rhythms Cause when you unfold me and tell me you love me And look in my eyes You are perfection my only direction Its fire on fire You are perfection my only direction Its fire on fire,0.25,0.65
54,Tak sie powinno robic muzyke,-0.5,1.0
55,this song is strong hits hard in my head love it,-0.15555555555555559,0.2888888888888889
56,I would hear this song without problem until I watched the video Now I cant hear this song without crying,-0.15555555555555559,0.2888888888888889
57,Wow,0.0,0.5
58,Suka sekali lagunya sampaii setiap kali aku mendengarkan terus dimanapun,0.0,0.4
59,Seeing the rabbits brings back memories,0.30000000000000004,0.75
60,This song is so heartbreaking that I hold my tears every time I listen to it However I enjoy it,-0.010416666666666671,0.41666666666666663
61,I played this song countless times I leave a comment here if anyone likes the comment I can listen to this very beautiful song again,0.5,0.6
62,stir m o mahn,1.0,0.3
63,its and this song still hits home,1.0,1.0
64,im crying this song goes so well with this song i listen to this song times a day love,0.2,0.4
65,Amazing how two rabbits and a beutiful melody can make me cry my eyes out My favourite song forever and ever,0.392,0.532
66,Great song he is a fantastic singer,0.25,0.3333333333333333
67,Am here just sad today,0.5,0.6
68,x,0.5,0.6
69,This is what I call music,0.45,0.8666666666666667
70,when I first heard stay with me I knew Sam Smith is destined for greatness,0.0,0.125
71,Eu acho que ele est falando de Ad o e Eva,0.7,0.8
72,Still here march,0.55,0.75
73,fiz um udio com essa m sica para algu me no final descobri q era tudo uma mentira,1.0,1.0
74,You lost the person you love but you never lost the love for the person,-0.2,0.6
75,Me on,0.33333333333333337,0.4833333333333333
76,schol,0.85,1.0
77,Youre perfection my only directions,-0.4,0.6
78,y sigue siendo tremendo temazo and its still a tremendous song,-0.09999999999999998,0.7
79,Welecame in Brasil my friend lozapaloza i lake very your Music very good,0.32499999999999996,0.8
80,kosta victims,-0.35,0.8
81,anyone,-0.11249999999999999,0.2375
82,This song is fire,0.0,0.6
83,This song is so beatiful,0.32499999999999996,0.8
84,The devil has taken fully control over Smith May Jesus Save you Repent Such an angelic voice and you are all selling yall souls to the devil NO NEED JESUS LOVES YOU COME TO HIM THE END IS NEAR Jesus has saved me He can save you too my family,0.2,0.2
85,Beautiful,-0.2,0.35
86,This show was soooo sad I hated it but it was kinda happy in the end,0.0,0.1
87,Schade dass der typ gay ist,0.3333333333333333,0.6666666666666666
88,Disgusting homophobe,0.4,0.8
89,I just came here bcuz controversy of malaysian artists in tik tok,-0.2,0.35
90,Am i the only one that is crying for those NOT REAL hares,0.23333333333333336,0.5
91,I love,0.35,0.4
92,This song hits the same after so many years,0.1,0.2
93,This sounds like Jessie j wrote this and can sing this,-0.2,0.6
94,Can imagine someone on the Masked Singer singing this in the finale,-0.2,0.6
95,Bellissima da piangere,0.0875,0.7
96,Anyone from,1.0,1.0
97,i loveuuu,0.46666666666666673,0.8333333333333334
98,stop,0.5,1.0
99,Alguien sabe el nombre de la pel cula,1.0,1.0
100,T traduzir em portugu s,0.5,0.6
